new07_07_2022_19_58_10 решительность 07_07_2022_19_58_47
07_07_2022_19_58_58 радость 07_07_2022_19_59_10
//---
08_07_2022_07_15_24 озадаченность 08_07_2022_07_17_18
//---
08_07_2022_16_41_05 спокойствие 08_07_2022_16_41_17
08_07_2022_16_41_19 безмятежность 08_07_2022_16_41_38
//---
09_07_2022_08_41_07 озадаченность 09_07_2022_08_42_14
09_07_2022_08_42_16 раздражение 09_07_2022_08_42_42
//---
09_07_2022_18_32_32 озадаченность 09_07_2022_18_32_49
09_07_2022_18_32_51 тревожность 09_07_2022_18_33_36
//---
10_07_2022_08_38_55 раздражение 10_07_2022_08_40_05
