new1490748983 утеря 07_07_2022_20:28:20
1490748983 утеря 07_07_2022_20:30:33
1490748983 игривость 07_07_2022_20:48:27
3 1490748983 возбуждение_уверенность 08_07_2022_10:55:53
4 1490748983 радость_спокойствие 08_07_2022_20:53:40
5 1490748983 игривость_возбуждение_уверенность 09_07_2022_11:46:36
6 1490748983 безмятежность_удовольствие 09_07_2022_19:33:18
7 1490748983 скука 10_07_2022_11:02:27
8 1490748983 уверенность_раздражение 10_07_2022_19:36:21
9 1490748983 возбуждение_тревожность 11_07_2022_10:30:37
10 1490748983 безмятежность 11_07_2022_20:20:33
11 1490748983 бодрость_уверенность 12_07_2022_10:58:41
12 1490748983 раздражение_грусть 12_07_2022_20:22:34
13 1490748983 скука 15_07_2022_18:25:32
14 1490748983 раздражение 15_07_2022_20:23:08
15 1490748983 удовольствие_бодрость 16_07_2022_11:09:05
16 1490748983 скука 16_07_2022_23:19:34
17 1490748983 спокойствие_бодрость 17_07_2022_10:54:25
18 1490748983 грусть 17_07_2022_19:39:20
