new03_04_2022_21_37_33 безмятежность 03_04_2022_21_38_40
//---
04_04_2022_07_15_00 спокойствие 04_04_2022_07_15_33
//---
04_04_2022_20_01_44 удовольствие 04_04_2022_20_02_22
//---
05_04_2022_16_50_57 бодрость 05_04_2022_16_51_10
//---
05_04_2022_18_49_12 радость 05_04_2022_18_49_31
//---
06_04_2022_09_41_51 скука 06_04_2022_09_42_03
//---
07_04_2022_05_19_57 раздражение 07_04_2022_05_20_20
//---
07_04_2022_16_33_19 спокойствие 07_04_2022_16_33_27
//---
08_04_2022_10_20_48 бодрость 08_04_2022_10_21_03
//---
08_04_2022_21_08_40 покинутость 08_04_2022_21_09_04
//---
