new07_07_2022_16_32_09 тревожность 07_07_2022_16_32_40
07_07_2022_16_32_56 раздражение 07_07_2022_16_33_16
//---
07_07_2022_18_36_53 безмятежность 07_07_2022_18_37_22
07_07_2022_18_37_24 скука 07_07_2022_18_37_45
//---
08_07_2022_06_40_08 покинутость 08_07_2022_06_40_31
08_07_2022_06_40_48 озадаченность 08_07_2022_06_40_55
//---
08_07_2022_18_46_00 покинутость 08_07_2022_18_46_19
//---
09_07_2022_11_52_50 грусть 09_07_2022_11_53_00
//---
09_07_2022_18_34_44 безмятежность 09_07_2022_18_35_02
//---
10_07_2022_06_09_39 спокойствие 10_07_2022_06_10_04
//---
10_07_2022_17_38_30 скука 10_07_2022_17_38_45
