new07_07_2022_20_22_45 раздражение 07_07_2022_20_22_58
07_07_2022_20_23_00 стыд 07_07_2022_20_23_30
07_07_2022_20_23_32 страх 07_07_2022_20_23_42
//---
08_07_2022_12_43_10 спокойствие 08_07_2022_12_43_21
08_07_2022_12_43_23 безмятежность 08_07_2022_12_44_02
//---
08_07_2022_20_33_04 спокойствие 08_07_2022_20_33_23
//---
09_07_2022_12_03_51 спокойствие 09_07_2022_12_03_58
09_07_2022_12_04_04 уверенность 09_07_2022_12_04_10
//---
09_07_2022_22_50_34 спокойствие 09_07_2022_22_50_49
09_07_2022_22_50_51 решительность 09_07_2022_22_51_16
//---
10_07_2022_12_28_50 спокойствие 10_07_2022_12_29_02
//---
10_07_2022_21_46_12 спокойствие 10_07_2022_21_46_25
10_07_2022_21_46_27 удовольствие 10_07_2022_21_46_33
//---
11_07_2022_15_59_12 спокойствие 11_07_2022_15_59_26
11_07_2022_15_59_28 
