new07_07_2022_14_47_34 возбуждение 07_07_2022_14_47_51 | 07_07_2022_14_47_52 радость 07_07_2022_14_48_33
07_07_2022_14_48_35 возбуждение 07_07_2022_14_48_42
07_07_2022_14_48_44 уверенность 07_07_2022_14_48_57
07_07_2022_14_49_00 бодрость 07_07_2022_14_49_05
//---
08_07_2022_08_18_29 разочарование 08_07_2022_08_18_49
08_07_2022_08_18_51 безмятежность 08_07_2022_08_19_27
//---
08_07_2022_17_40_37 бодрость 08_07_2022_17_40_59
//---
09_07_2022_11_51_40 удовольствие 09_07_2022_11_51_50
09_07_2022_11_51_51 спокойствие 09_07_2022_11_52_12
//---
09_07_2022_18_50_26 раздражение 09_07_2022_18_52_00
//---
10_07_2022_07_35_57 озадаченность 10_07_2022_07_36_08
10_07_2022_07_36_10 тревожность 10_07_2022_07_36_25
10_07_2022_07_36_28 бодрость 10_07_2022_07_36_33
//---
10_07_2022_17_37_07 злость 10_07_2022_17_37_15
//---
