new679207613 грусть 07_02_2022_13:26:27
679207613 раздражение_тревожность 08_02_2022_09:00:15
679207613 игривость_озадаченность_бодрость 08_02_2022_18:11:49
679207613 скука 09_02_2022_06:30:10
679207613 игривость_бодрость_очарование 09_02_2022_18:14:39
679207613 бодрость 10_02_2022_07:23:59
679207613 спокойствие 10_02_2022_17:30:51
679207613 скука 11_02_2022_08:35:40
679207613 раздражение_разочарование 11_02_2022_17:27:22
679207613 спокойствие_безмятежность 12_02_2022_12:19:03
679207613 удовольствие_безмятежность 13_02_2022_12:37:30
679207613 раздражение 14_02_2022_09:07:51
679207613 раздражение 14_02_2022_17:04:13
679207613 раздражение 15_02_2022_08:25:36
679207613 решительность 15_02_2022_16:40:46
679207613 злость 17_02_2022_08:44:06
679207613 раздражение 17_02_2022_08:44:12
