new08_01_2022_08_39_11 удовольствие 08_01_2022_08_39_18
//---
//---
//---
08_01_2022_08_50_45 радость 08_01_2022_08_50_54 | 08_01_2022_08_50_55 бодрость 08_01_2022_08_51_00
//---
08_01_2022_08_54_34 покинутость 08_01_2022_08_54_42 | 08_01_2022_08_54_43 изменения утеряны в виду отключения бота в момент записи или по другим причинам08_01_2022_08_55_01 | 08_01_2022_08_55_02 удовольствие 08_01_2022_08_55_08
08_01_2022_08_55_10 злость 08_01_2022_08_55_14
//---
08_01_2022_09_17_12  08_01_2022_09_18_04
//---
08_01_2022_09_18_24 бодрость 08_01_2022_09_18_32
08_01_2022_09_18_36 гордость 08_01_2022_09_18_39
//---
08_01_2022_09_20_45 удовольствие 08_01_2022_09_20_48
//---
//---
08_01_2022_09_21_58 удовольствие 08_01_2022_09_22_02
//---
08_01_2022_09_23_22 08_01_2022_09_25_01 злость 08_01_2022_09_25_06
//---
08_01_2022_09_26_26 10_01_2022_09_29_33 игривость 10_01_2022_09_29_38
//---
10_01_2022_09_31_02 удовольствие 10_01_2022_09_31_08
//---
10_01_2022_09_38_30 удовольствие 10_01_2022_09_38_51
//---
10_01_2022_09_39_25 раздражение 10_01_2022_09_39_33
